candidate_id,name,dob,phone,district,course,batch_id,attendance_pct,assessment_score
a7d93cea-7623-418f-8fb6-f09e6a2fffbb,Tanmayi Dhillon,1991-05-26,6582897882,Nashik,Customer Care Executive,BATCH_8792,75.07,92.67
1335e471-4f92-48ee-8edb-1a55bea30cd9,Tejas Kota,1999-09-16,8705855162,Palghar,Python Developer,BATCH_2584,54.29,58.91
0985b663-d3d5-4083-92a5-cb88ce934e86,Sanaya Dutt,2001-06-25,7385220694,Sangli,Retail Sales Associate,BATCH_1977,58.3,56.92
6198fe1d-4a15-48af-b111-376dc5d41c65,Dalbir Shere,1999-07-01,9113275526,Washim,Field Technician,BATCH_2843,70.72,48.15
2f6b24bf-b459-4dc9-bd02-69a922766202,Nirja Bassi,1989-07-26,8119574893,Parbhani,Plumber,BATCH_3953,97.56,58.8
c063c496-f3ab-4f1f-b209-cdc98bf9e7e1,Yashodhara Tak,1983-03-16,8357109965,Palghar,Electrician,BATCH_2290,54.28,66.73
ddda9d19-c1c1-46ce-8602-ed735f5d886b,Ekantika Mutti,1984-11-19,7878488534,Pune,Data Entry Operator,BATCH_7868,80.75,91.49
dff7de7a-9c8d-4b4b-8007-528fc2382e54,Max Dixit,2003-05-16,9935389432,Parbhani,Logistics Associate,BATCH_2786,72.6,52.19
c77fa2f2-c9f1-44cd-8aea-b3c0ac7a2d3a,Ekta Bhalla,1987-01-27,9740389325,Raigad,Field Technician,BATCH_7252,79.79,65.74
29a066e6-4a9b-415a-a250-8ce00b8ade33,Gunbir Keer,2005-07-03,+917757074545,Ratnagiri,Retail Sales Associate,BATCH_6067,69.91,79.43
ef97d0da-11d6-4901-8965-9e57d40a0589,Yutika Dey,1989-11-04,7886476517,Buldhana,Electrician,BATCH_3466,50.32,62.55
b7d47d7c-460e-426a-869e-43f0e454bc98,Nihal Shere,1990-04-14,9197613238,Palghar,Retail Sales Associate,BATCH_3504,81.37,83.56
09d86d84-acdf-404f-808f-d32d17dc5004,Gautam Rana,1981-01-18,6716243819,Satara,Logistics Associate,BATCH_7012,69.9,75.73
